Inspection ID,date,productID,employeeID,result
1,3/1/2024,101,201,Pass
2,3/5/2024,102,202,Fail
3,3/10/2024,103,203,Pass
4,3/15/2024,104,204,Fail
5,3/20/2024,105,205,Pass
6,3/25/2024,106,206,Pass
7,3/30/2024,107,207,Fail
8,4/1/2024,108,208,Pass
9,4/5/2024,109,209,Fail
10,4/10/2024,110,210,Pass
11,4/15/2024,111,211,Fail
12,4/20/2024,112,212,Fail
13,4/25/2024,113,213,Pass
14,4/30/2024,114,214,Pass
15,5/1/2024,115,215,Pass
16,5/5/2024,116,216,Fail
17,5/10/2024,117,217,Pass
18,5/15/2024,118,218,Pass
19,5/20/2024,119,219,Fail
20,5/25/2024,120,220,Pass
21,5/30/2024,121,221,Pass
22,6/1/2024,122,222,Fail
23,6/5/2024,123,223,Pass
24,6/10/2024,124,224,Pass
25,6/15/2024,125,225,Fail
